date,lid,htid,atid,corn_h,corn_a,h_n,corn_f_h,corn_a_h,sot_f_h,ibox_f_h,xg_f_h,poss_f_h,a_n,corn_f_a,corn_a_a,sot_f_a,ibox_f_a,xg_f_a,poss_f_a,lg_n,lg_corn,lg_xg
2024-01-21T21:00:00+00:00,32,630,631,1.0,3.0,0.0,,,,,,,0.0,,,,,,,4.971235291805538,11.20116391882843,0.0
2024-01-21T23:10:00+00:00,32,632,633,6.0,2.0,0.0,,,,,,,0.0,,,,,,,5.971235291805538,9.995188343102793,0.0
2024-01-22T01:20:00+00:00,32,634,635,2.0,5.0,0.0,,,,,,,0.0,,,,,,,6.931083931056581,9.708985359042266,0.0
2024-01-22T23:10:00+00:00,32,636,637,9.0,3.0,0.0,,,,,,,0.0,,,,,,,7.931083931056581,9.367419769446826,0.0
2024-01-23T01:20:00+00:00,32,638,639,4.0,0.0,0.0,,,,,,,0.0,,,,,,,8.879644672763781,9.66218580802348,0.0
2024-01-23T20:30:00+00:00,122,101,109,4.0,6.0,0.0,,,,,,,3.2546552809269818,4.111207553406263,5.156526460059055,5.534292748177406,9.211541949412164,0.0,0.0,29.712362777006263,10.944648233112293,0.0
2024-01-24T17:00:00+00:00,96,2895,247,2.0,10.0,0.0,,,,,,,0.9012504626108302,4.0,3.0,2.0,5.000000000000001,0.0,0.0,39.96829627012518,9.025573102371375,0.0
2024-01-24T18:30:00+00:00,122,111,100,3.0,7.0,0.9603729450510042,3.0,7.0,8.0,10.0,0.0,0.0,2.2746809525384877,7.623228582074911,6.189115109785759,5.583865922329422,11.74784652028565,0.0,0.0,30.53547258384897,10.913890318458474,0.0
2024-01-24T20:30:00+00:00,122,97,108,9.0,2.0,0.0,,,,,,,0.9659363289248456,5.0,3.0,7.0,7.0,0.0,0.0,31.53547258384897,10.884910561899298,0.0
2024-01-25T19:45:00+00:00,44,2,36,12.0,6.0,0.0,,,,,,,0.0,,,,,,,27.170683634554706,10.516965278246554,0.0
2024-01-25T20:00:00+00:00,122,116,104,1.0,3.0,0.0,,,,,,,1.8505925835613493,5.896051332385349,6.025987166903663,5.000000000000001,7.435032082740844,0.0,0.0,32.34808205087019,10.8884479144859,0.0
2024-01-25T23:10:00+00:00,32,627,620,5.0,4.0,0.9659363289248456,10.0,2.0,10.0,22.0,0.0,0.0,0.0,,,,,,,9.7661672751318,9.089069466741186,0.0
2024-01-26T01:20:00+00:00,32,629,624,7.0,6.0,0.9659363289248456,4.0,4.0,3.0,3.0,0.0,0.0,0.0,,,,,,,10.704158714517648,9.080796377120247,0.0
2024-01-26T19:45:00+00:00,44,19,3,7.0,7.0,0.0,,,,,,,0.8908987181403393,12.0,5.0,6.0,6.0,0.0,0.0,28.008432436049713,10.782597267119362,0.0
