fid,date,lg,htid,atid,y,h_f_ts,h_f_sot,h_f_ibox,h_f_corn,h_f_ts_v,h_a_ts,h_a_sot,h_a_blk,h_n,a_f_ts,a_f_sot,a_f_ibox,a_f_corn,a_f_ts_v,a_a_ts,a_a_sot,a_a_blk,a_n,lgm,h_rest,a_rest,h_l5_mean,h_l5_std,h_l5_n,a_l5_mean,a_l5_std,a_l5_n
1153136,2024-02-22,32,628,636,26,18.04078378605934,7.0107212524519325,11.72936824368124,9.550981045814243,18.04078378605934,9.79752867264657,2.46716894567006,2.748615739638732,7,13.44668834662386,3.3488155950884773,6.0049791810045186,3.013822534753638,13.44668834662386,14.577092550138817,3.6323826891533675,4.688787836427835,7,25.0055297214398,4,4,15.4,4.317406628984581,5,17.4,5.535341001239218,5
1153132,2024-02-23,32,624,622,25,14.385867862390565,3.709124763791798,5.756441712766588,6.998923815301637,14.385867862390565,12.31170787765107,3.5660977321690708,4.179871141545718,7,13.071460559175568,4.015072373909762,7.44784361958638,5.97245612576264,13.071460559175568,12.810454742878516,3.390154997529497,2.6950774987647486,7,25.02161437380983,5,5,12.4,3.555277766926235,5,11.6,3.7202150475476548,5
1173307,2024-02-23,112,3422,3427,18,22.17317846999756,7.086589234998779,10.564941926249084,5.08658923499878,22.17317846999756,9.564941926249082,1.4783526912503056,2.6082365437484727,4,8.518763920037241,2.037527840074482,5.000000000000001,1.0375278400744818,8.518763920037241,13.112583520223446,2.0,4.668875280335168,4,25.30563455349458,4,7,14.5,8.139410298049853,4,7.25,2.48746859276655,4
1153139,2024-02-23,32,627,625,28,15.087914389526343,5.041467604260912,9.069112673768188,4.316191344576683,15.087914389526343,12.633497697413281,3.051425966269949,4.944709860985448,7,18.343608070968454,5.683016053698623,6.9551519271424205,8.143300293858653,18.343608070968454,13.303671883967837,4.709996077175037,2.6518359419839186,6,25.02126838428279,6,8,14.2,3.059411708155671,5,12.8,4.707440918375928,5
1153135,2024-02-23,32,629,637,25,10.936290973369278,3.293812060472572,4.2186281230812055,5.656587271885172,10.936290973369278,10.62743127567097,2.987866727182401,2.0010675763718586,8,12.461078765786116,2.7507483205680185,6.238687311752922,3.735106593387529,12.461078765786116,15.962474906591394,4.180809299137076,2.5398304392566025,6,25.068198843814844,2,5,9.8,3.9698866482558417,5,14.4,4.2708313008125245,5
1153133,2024-02-24,32,638,623,24,14.67318234489025,3.5472763823914737,7.595919611006781,3.785534195803364,14.67318234489025,8.998460721539427,3.4922417624983217,1.469299302796685,7,9.708407307326222,3.2905165079754144,3.661090358351435,5.3862265906233535,9.708407307326222,17.207072905543214,3.2752224959608687,4.725136232271919,6,25.06714102473255,4,7,12.4,4.715930449020639,5,9.2,3.1240998703626617,5
1173308,2024-02-24,112,3416,3429,16,11.31814795608044,4.959588434684543,6.439382652026813,2.0,11.31814795608044,9.398971086711356,2.9595884346845422,2.520205782657729,4,13.439382652026813,5.479794217342271,8.919176869369084,1.439382652026813,13.439382652026813,13.762675174550477,5.0,3.0404115653154578,4,25.08998102105961,8,6,11.0,3.24037034920393,4,11.25,2.5860201081971503,4
1173309,2024-02-24,112,3423,3419,24,17.55053509722351,6.979785961110596,7.020214038889404,8.020214038889403,17.55053509722351,12.040428077778808,3.0,4.5101070194447015,4,9.086589234998778,2.4350580737509167,6.043294617499389,2.0,9.086589234998778,31.261879603753357,10.91341076500122,10.391763456251528,4,24.827882975093285,6,7,13.0,4.847679857416329,4,10.75,2.277608394786075,4
1173310,2024-02-24,112,3418,3433,36,26.049287579978294,7.529607547557433,14.726881939573254,9.588709680871336,26.049287579978294,6.980144969726854,3.3124781252684645,1.6512753050659452,6,6.9191768693690845,1.959588434684542,2.919176869369084,3.4393826520268136,6.9191768693690845,17.0,6.040411565315459,3.040411565315458,4,24.804681020906884,6,6,16.6,5.2,5,8.25,1.920286436967152,4
1173311,2024-02-24,112,3428,3420,23,12.18763920037241,5.518763920037241,9.112583520223446,6.037527840074483,12.18763920037241,13.962472159925518,5.481236079962759,3.4812360799627586,4,8.550701094741783,2.3186292573422365,5.3073928208484284,2.9671242085205187,8.550701094741783,20.07782153745472,7.670134306163955,1.659731387672091,5,25.109883556069747,7,3,12.25,5.80409338312195,4,11.0,4.0,5
1153138,2024-02-25,32,620,630,21,17.53189495579256,4.504253391091254,10.38104318209594,7.93909502165922,17.53189495579256,7.82791306531395,2.7068032347892683,1.3534016173946342,7,11.274825231765591,4.0,5.915280112723434,4.299921802439584,11.274825231765591,14.472403842067765,4.653079011302201,3.3720175593717925,6,25.050748652397324,7,9,9.4,3.006659275674582,5,12.0,2.449489742783178,5
1173312,2024-02-25,112,3426,3421,26,13.651531161247862,4.608236543748473,8.694825778747251,6.129883852498168,13.651531161247862,6.435058073750917,1.0,1.0,4,11.608236543748474,4.478352691250305,5.478352691250305,4.913410765001222,11.608236543748474,12.348468838752138,5.435058073750916,1.4350580737509164,4,25.053891155254487,6,8,12.25,2.7726341266023544,4,17.75,6.53356717268599,4
1173313,2024-02-25,112,3430,3425,29,20.481236079962756,6.443708239888277,13.443708239888277,7.518763920037241,20.481236079962756,7.668875280335168,3.0750556801489637,0.0,4,10.593819600186206,4.518763920037241,3.0750556801489637,2.4812360799627586,10.593819600186206,15.075055680148964,5.518763920037241,1.518763920037241,4,25.07848804305123,7,6,15.75,5.2141634036535525,4,10.25,2.7726341266023544,4
1153145,2024-02-25,32,621,628,30,13.618688085309318,4.245417330332797,6.9348835049569795,6.1567081388514895,13.618688085309318,10.304387340465572,2.9899459267410715,3.539750597539444,7,12.727928700035463,4.026259416979831,8.370525476918637,5.01969083539082,12.727928700035463,13.980309164609181,4.318021552335186,4.7279137906592545,8,24.989116784801755,7,3,11.2,4.578209256903839,5,14.8,4.791659420284375,5
1153148,2024-02-25,32,636,634,31,20.355514527939217,5.798229278137398,9.977135386175393,6.518647592834095,20.355514527939217,9.682855304275886,1.985561514220272,2.226237717803225,8,13.941518264759337,4.491370804845044,6.142028032317087,5.370709799133088,13.941518264759337,13.320742204509314,4.153811139404212,2.742503380785157,7,25.064214429427437,3,8,18.6,4.317406628984581,5,16.4,5.161395160225576,5
1173314,2024-02-26,112,3417,3431,41,20.999999999999996,5.0,9.0,13.0,20.999999999999996,5.0,3.0,1.0,4,5.063517124029324,1.5158792810073307,2.0317585620146614,5.642913529065977,5.063517124029324,13.777690065897367,5.936482875970676,1.9364828759706767,4,25.177855942472235,9,7,13.75,4.710360920354193,4,9.75,5.889609494694874,4
1153143,2024-02-26,32,622,632,27,10.843651180771388,3.458299822706712,5.889844724043612,7.926877348939113,10.843651180771388,10.144800433410554,3.2137691893827447,2.824359931386269,8,8.356636616855882,4.617364061764614,5.047954585973576,4.021955264594074,8.356636616855882,15.84326984060928,6.099953228732582,2.4045912028294603,7,25.151859964799836,3,4,9.4,4.2708313008125245,5,12.4,4.963869458396343,5
1173315,2024-02-26,112,3432,3424,27,12.849888639702073,4.481236079962758,5.924944319851036,5.556291760111723,12.849888639702073,11.593819600186205,3.518763920037241,1.443708239888277,4,10.0,2.0,6.0,1.0,10.0,23.000000000000004,9.0,3.0,4,25.571076994472083,10,8,12.0,3.082207001484488,4,15.75,5.2141634036535525,4
1153147,2024-02-26,32,625,639,18,9.609067628845116,2.668248534869741,5.034708332740527,3.6784842943261693,9.609067628845116,8.272570559105635,4.262334799649206,2.6784842943261697,7,10.780485252541439,2.0002879957181405,8.05933268121214,3.5701228890425742,10.780485252541439,9.731339864012966,3.311650045739212,2.510502212112292,8,25.178905320847928,3,4,13.4,4.498888751680798,5,15.8,5.455272678794342,5
1153141,2024-02-27,32,623,626,29,8.006812715970584,3.6712084773137232,5.349451991943648,2.6367002547695644,8.006812715970584,19.17935382869138,4.411433399715765,4.383960214487807,7,11.171657096298173,5.025952079631569,6.3167052309223894,3.9720586680143666,11.171657096298173,18.558200357346525,4.346635815262088,4.811035315205148,8,25.07536566479895,3,5,9.2,3.1240998703626617,5,14.4,6.468384651518491,5
1172708,2024-02-27,96,252,248,30,13.0,7.0,8.0,5.0,13.0,12.0,5.0,1.0,3,19.043294617499388,8.95670538250061,12.521647308749696,5.521647308749694,19.043294617499388,10.564941926249084,4.564941926249084,3.0432946174993893,3,24.604120321082952,20,20,14.0,0.816496580927726,3,19.333333333333332,0.9428090415820634,3
1153150,2024-02-27,32,637,620,34,15.37735372157086,4.950941488628343,5.049058511371657,5.0,15.37735372157086,15.049058511371657,5.049058511371657,4.0,7,9.668888103701029,1.7690863681548348,2.2018189973270474,3.245460949104224,9.668888103701029,18.61571517872815,6.2644336308671305,5.019789159942708,8,25.131483578940177,4,2,14.2,4.261455150532504,5,10.2,2.7856776554368237,5
1153146,2024-02-28,32,630,624,34,12.96792036107963,5.933018114850911,5.20659790772745,4.164632105564374,12.96792036107963,7.579239224673446,1.3551901938316382,2.3391503743714535,7,9.393362702466723,2.757427343511914,4.8081039455482655,5.768652280749495,9.393362702466723,12.995938867003122,4.545183941136692,2.735121389143225,8,25.25650583903168,3,5,11.6,2.5768197453450252,5,15.2,3.7094473981982814,5
1172709,2024-02-28,96,274,2906,17,11.896121484958309,5.896121484958309,8.370151856197886,3.051939257520845,11.896121484958309,14.422091113718732,5.370151856197888,4.0,3,15.64253030601553,3.0,8.095020204010353,5.809959591979293,15.64253030601553,9.547510102005177,3.5475101020051767,3.0950202040103534,3,24.733237783911758,20,21,10.333333333333334,2.8674417556808756,3,11.666666666666666,5.557777333511022,3
1174581,2024-02-28,135,1173,3954,21,9.0,2.0,0.0,7.0,9.0,6.000000000000001,1.0,0.0,3,2.0,0.0,0.0,1.0,2.0,25.0,9.999999999999998,6.0,3,24.15216643301132,3,7,13.0,5.656854249492381,3,5.333333333333333,3.39934634239519,3
1174792,2024-02-29,112,3427,3417,17,6.103930468993111,2.0346434896643704,2.5173217448321856,0.9653565103356295,6.103930468993111,9.551965234496556,2.9653565103356296,1.0346434896643704,5,11.273475113481348,2.606782385887093,3.6067823858870924,4.588793646818391,11.273475113481348,15.952134272860484,4.9461119655766606,3.708614330232716,5,25.605728240599777,6,3,6.4,2.8000000000000003,5,17.2,8.084553172563094,5
1172710,2024-02-29,96,3014,251,28,15.629848143802112,6.577908886281268,9.103878515041691,5.155817772562535,15.629848143802112,10.0,1.4740303712395775,2.5259696287604223,3,15.345708934903561,8.43213616862945,10.888922551766504,4.543213616862945,15.345708934903561,9.56786383137055,2.3703591494111653,1.3703591494111653,3,24.551492109698373,22,23,14.666666666666666,2.357022603955158,3,15.0,3.265986323710904,3
